id,number,name,form,region,type_1,type_2,ability_1,ability_2,ability_hidden,generation,legendary,mega,height,weight,hp,attack,defense,special_attack,special_defense,speed,total
42,31,Nidoqueen,1,global,Poison,Ground,Poison Point,Rivalry,Sheer Force,1,0,0,1.3,60,90,92,87,75,85,76,505
43,32,Nidoran M,1,global,Poison,"",Poison Point,Rivalry,Hustle,1,0,0,0.5,9,46,57,40,40,40,50,273
44,33,Nidorino,1,global,Poison,"",Poison Point,Rivalry,Hustle,1,0,0,0.9,19.5,61,72,57,55,55,65,365
45,34,Nidoking,1,global,Poison,Ground,Poison Point,Rivalry,Sheer Force,1,0,0,1.4,62,81,102,77,85,75,85,505
46,35,Clefairy,1,global,Fairy,"",Cute Charm,Magic Guard,Friend Guard,1,0,0,0.6,7.5,70,45,48,60,65,35,323
47,36,Clefable,1,global,Fairy,"",Cute Charm,Magic Guard,Friend Guard,1,0,0,1.3,40,95,70,73,95,90,60,483
48,37,Vulpix,1,global,Fire,"",Flash Fire,"",Drought,1,0,0,0.6,9.9,38,41,40,50,65,65,299
49,37,Vulpix,1,alolan,Ice,"",Snow Cloak,"",Snow Warning,7,0,0,0.6,9.9,38,41,40,50,65,65,299
50,38,Ninetales,1,global,Fire,"",Flash Fire,"",Drought,1,0,0,1.1,19.9,73,76,75,81,100,100,505
51,38,Ninetales,1,alolan,Ice,Fairy,Snow Cloak,"",Snow Warning,7,0,0,1.1,19.9,73,67,75,81,100,109,505
52,39,Jigglypuff,1,global,Normal,Fairy,Cute Charm,Competitive,Friend Guard,1,0,0,0.5,5.5,115,45,20,45,25,20,270
53,40,Wigglytuff,1,global,Normal,Fairy,Cute Charm,Competitive,Friend Guard,1,0,0,1,12,140,70,45,85,50,45,435
54,41,Zubat,1,global,Poison,Flying,Inner Focus,"",Infiltrator,1,0,0,0.8,7.5,40,45,35,30,40,55,245
55,42,Golbat,1,global,Poison,Flying,Inner Focus,"",Infiltrator,1,0,0,1.6,55,75,80,70,65,75,90,455
56,43,Oddish,1,global,Grass,Poison,Chlorophyll,"",Run Away,1,0,0,0.5,5.4,45,50,55,75,65,30,320
57,44,Gloom,1,global,Grass,Poison,Chlorophyll,"",Stench,1,0,0,0.8,8.6,60,65,70,85,75,40,395
58,45,Vileplume,1,global,Grass,Poison,Chlorophyll,"",Effect Spore,1,0,0,1.2,18.6,75,80,85,110,90,50,490
59,46,Paras,1,global,Bug,Grass,Effect Spore,Dry Skin,Damp,1,0,0,0.3,5.4,35,70,55,45,55,25,285
60,47,Parasect,1,global,Bug,Grass,Effect Spore,Dry Skin,Damp,1,0,0,1,29.5,60,95,80,60,80,30,405
61,48,Venonat,1,global,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,1,0,0,1,30,60,55,50,40,55,45,305
62,49,Venomoth,1,global,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,1,0,0,1.5,12.5,70,65,60,90,75,90,450
63,50,Diglett,1,global,Ground,"",Sand Veil,Arena Trap,Sand Force,1,0,0,0.2,0.8,10,55,25,35,45,95,265
64,50,Diglett,1,alolan,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,7,0,0,0.2,1,10,55,30,35,45,90,265
65,51,Dugtrio,1,global,Ground,"",Sand Veil,Arena Trap,Sand Force,1,0,0,0.7,33.3,35,100,50,50,70,120,425
66,51,Dugtrio,1,alolan,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,7,0,0,0.7,66.6,35,100,60,50,70,110,425
67,52,Meowth,1,global,Normal,"",Pickup,Technician,Unnerve,1,0,0,0.4,4.2,40,45,35,40,40,90,290
68,52,Meowth,1,alolan,Dark,"",Pickup,Technician,Rattled,7,0,0,0.4,4.2,40,35,35,50,40,90,290
69,52,Meowth,1,galarian,Steel,"",Pickup,Tough Claws,Unnerve,8,0,0,0.4,7.5,50,65,55,40,40,40,290
70,53,Persian,1,global,Normal,"",Limber,Technician,Unnerve,1,0,0,1,32,65,70,60,65,65,115,440
71,53,Persian,1,alolan,Dark,"",Fur Coat,Technician,Rattled,7,0,0,1.1,33,65,60,60,75,65,115,440
72,54,Psyduck,1,global,Water,"",Damp,Cloud Nine,Swift Swim,1,0,0,0.8,19.6,50,52,48,65,50,55,320
73,55,Golduck,1,global,Water,"",Damp,Cloud Nine,Swift Swim,1,0,0,1.7,76.6,80,82,78,95,80,85,500
74,56,Mankey,1,global,Fighting,"",Vital Spilit,Anger Point,Defiant,1,0,0,0.5,28,40,80,35,35,45,70,305
75,57,Primeape,1,global,Fighting,"",Vital Spilit,Anger Point,Defiant,1,0,0,1,32,65,105,60,60,70,95,455
76,58,Growlithe,1,global,Fire,"",Intimidate,Flash Fire,Justified,1,0,0,0.7,19,55,70,45,70,50,60,350
77,59,Arcanine,1,global,Fire,"",Intimidate,Flash Fire,Justified,1,0,0,1.9,155,90,110,80,100,80,95,555
78,60,Poliwag,1,global,Water,"",Water Absorb,Damp,Swift Swim,1,0,0,0.6,12.4,40,50,40,40,40,90,300
79,61,Poliwhirl,1,global,Water,"",Water Absorb,Damp,Swift Swim,1,0,0,1,20,65,65,65,50,50,90,385
80,62,Poliwrath,1,global,Water,Fighting,Water Absorb,Damp,Swift Swim,1,0,0,1.3,54,90,95,95,70,90,70,510
81,63,Abra,1,global,Psychic,"",Synchronize,Inner Focus,Magic guard,1,0,0,0.9,19.5,25,20,15,105,55,90,310
82,64,Kadabra,1,global,Psychic,"",Synchronize,Inner Focus,Magic guard,1,0,0,1.3,56.5,40,35,30,120,70,105,400
83,65,Alakazam,1,global,Psychic,"",Synchronize,Inner Focus,Magic guard,1,0,0,1.5,48,55,50,45,135,95,120,500
84,65,Mega Alakazam,1,global,Psychic,"",Trace,"","",1,0,1,1.2,48,55,50,65,175,95,150,590
85,66,Machop,1,global,Fighting,"",Guts,No Guard,Steadfast,1,0,0,0.8,19.5,70,80,50,35,35,35,305
86,67,Machoke,1,global,Fighting,"",Guts,No Guard,Steadfast,1,0,0,1.5,70.5,80,100,70,50,60,45,405
87,68,Machamp,1,global,Fighting,"",Guts,No Guard,Steadfast,1,0,0,1.6,130,90,130,80,65,85,55,505
88,69,Bellsprout,1,global,Grass,Poison,Chlorophyll,"",Gluttony,1,0,0,0.7,4,50,75,35,70,30,40,300
89,70,Weepinbell,1,global,Grass,Poison,Chlorophyll,"",Gluttony,1,0,0,1,6.4,65,90,50,85,45,55,390
90,71,Victreebel,1,global,Grass,Poison,Chlorophyll,"",Gluttony,1,0,0,1.7,15.5,80,105,65,100,70,70,490
91,72,Tentacool,1,global,Water,Poison,Clear Body,Liquid Ooze,Rain dish,1,0,0,0.9,45.5,40,40,35,50,100,70,335
92,73,Tentacruel,1,global,Water,Poison,Clear Body,Liquid Ooze,Rain dish,1,0,0,1.6,55,80,70,65,80,120,100,515
93,74,Geodude,1,global,Rock,Ground,Rock Head,Sturdy,Sand Veil,1,0,0,0.4,20,40,80,100,30,30,20,300
94,74,Geodude,1,alolan,Rock,Electric,Magnet Pull,Sturdy,Galvanize,7,0,0,0.4,20.3,40,80,100,30,30,20,300
95,75,Graveler,1,global,Rock,Ground,Rock Head,Sturdy,Sand Veil,1,0,0,1,105,55,95,115,45,45,35,390
96,75,Graveler,1,alolan,Rock,Electric,Magnet Pull,Sturdy,Galvanize,7,0,0,1,110,55,95,115,45,45,35,390
97,76,Golem,1,global,Rock,Ground,Rock Head,Sturdy,Sand Veil,1,0,0,1.4,300,80,120,130,55,65,45,495
98,76,Golem,1,alolan,Rock,Electric,Magnet Pull,Sturdy,Galvanize,7,0,0,1.7,316,80,120,130,55,65,45,495
99,77,Ponyta,1,global,Fire,"",Run Away,Flash Fire,Flame Body,1,0,0,1,30,50,85,55,65,65,90,410
100,77,Ponyta,1,galarian,Psychic,"",Run Away,Pastel Veil,Anticipation,8,0,0,0.8,24,50,85,55,65,65,90,410
101,78,Rapidash,1,global,Fire,"",Run Away,Flash Fire,Flame Body,1,0,0,1.7,95,65,100,70,80,80,105,500
102,78,Rapidash,1,galarian,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,8,0,0,1.7,80,65,100,70,80,80,105,500
103,79,Slowpoke,1,global,Water,Psychic,Oblivious,Own Tempo,Regenerator,1,0,0,1.2,36,90,65,65,40,40,15,315
104,79,Slowpoke,1,galarian,Psychic,"",Gluttony,Own Tempo,Regenerator,8,0,0,1.2,36,90,65,65,40,40,15,315
105,80,Slowbro,1,global,Water,Psychic,Oblivious,Own Tempo,Regenerator,1,0,0,1.6,78.5,95,75,110,100,80,30,490
106,80,Slowbro,1,galarian,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,8,0,0,1.6,70.5,95,100,95,100,70,30,490
107,80,Mega Slowbro,1,global,Water,Psychic,Shell Armor,"","",1,0,1,2,120,95,75,180,130,80,30,590
108,81,Magnemite,1,global,Electric,Steel,Magnet Pull,Sturdy,Analytic,1,0,0,0.3,6,25,35,70,95,55,45,325
109,82,Magneton,1,global,Electric,Steel,Magnet Pull,Sturdy,Analytic,1,0,0,1,60,50,60,95,120,70,70,465
110,83,Farfetch'd,1,global,Normal,Flying,Keen Eye,Inner Focus,Defiant,1,0,0,0.8,15,52,90,55,58,62,60,377
111,83,Farfetch'd,1,global,Fighting,"",Steadfast,"",Scrappy,8,0,0,0.8,42,52,95,55,58,62,55,377
112,84,Doduo,1,global,Normal,Flying,Run Away,Early Bird,Tangled Feet,1,0,0,1.4,39.2,35,85,45,35,35,75,310
113,85,Dodrio,1,global,Normal,Flying,Run Away,Early Bird,Tangled Feet,1,0,0,1.8,85.2,60,110,70,60,60,110,470
114,86,Seel,1,global,Water,"",Thick Fat,Hydration,Ice Body,1,0,0,1.1,90,65,45,55,45,70,45,325
115,87,Dewgong,1,global,Water,Ice,Thick Fat,Hydration,Ice Body,1,0,0,1.7,120,90,70,80,70,95,70,475
116,88,Grimer,1,global,Poison,"",Stench,Sticky Hold,Poison Touch,1,0,0,0.9,30,80,80,50,40,50,25,325
117,88,Grimer,1,alolan,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,7,0,0,0.7,42,80,80,50,40,50,25,325
118,89,Muk,1,global,Poison,"",Stench,Sticky Hold,Poison Touch,1,0,0,1.2,30,105,105,75,65,100,50,500
119,89,Muk,1,alolan,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,7,0,0,1,52,105,105,75,65,100,50,500
120,90,Shellder,1,global,Water,"",Shell Armor,Skill Link,Overcoat,1,0,0,0.3,4,30,65,100,45,25,40,305
121,91,Cloyster,1,global,Water,Ice,Shell Armor,Skill Link,Overcoat,1,0,0,1.5,132.5,50,95,180,85,45,70,525
122,92,Gastly,1,global,Ghost,Poison,Levitate,"","",1,0,0,1.3,0.1,30,35,30,100,35,80,310
123,93,Haunter,1,global,Ghost,Poison,Levitate,"","",1,0,0,1.6,0.1,45,50,45,115,55,95,405
124,94,Gengar,1,global,Ghost,Poison,Cursed Body,"","",1,0,0,1.5,40.5,60,65,60,130,75,110,500
125,94,Mega Gengar,1,global,Ghost,Poison,Shadow Tag,"","",1,0,1,1.4,40.5,60,65,80,170,95,130,600
126,95,Onix,1,global,Rock,Ground,Rock Head,Sturdy,Weak Armor,1,0,0,8.8,210,35,45,160,30,45,70,385
127,96,Drowzee,1,global,Psychic,"",Insomnia,Forewarn,Inner Focus,1,0,0,1,32.4,60,48,45,43,90,42,328
128,97,Hypno,1,global,Psychic,"",Insomnia,Forewarn,Inner Focus,1,0,0,1.6,75.6,85,73,70,73,115,67,483
129,98,Krabby,1,global,Water,"",Hyper Cutter,Shell Armor,Sheer Force,1,0,0,0.4,6.5,30,105,90,25,25,50,325
130,99,Kingler,1,global,Water,"",Hyper Cutter,Shell Armor,Sheer Force,1,0,0,1.3,60,55,130,115,50,50,75,475
131,100,Voltorb,1,global,Electric,"",Soundproof,Static,Aftermath,1,0,0,0.5,10.4,40,30,50,55,55,100,330
132,101,Electrode,1,global,Electric,"",Soundproof,Static,Aftermath,1,0,0,1.2,66.6,60,50,70,80,80,150,490
133,102,Exeggcute,1,global,Grass,Psychic,Chlorophyll,"",Harvest,1,0,0,0.4,2.5,60,40,80,60,45,40,325
134,103,Exeggutor,1,global,Grass,Psychic,Chlorophyll,"",Harvest,1,0,0,2,120,95,95,85,125,75,55,530
135,103,Exeggutor,1,alolan,Grass,Dragon,Frisk,"",Harvest,7,0,0,10.9,415.6,95,105,85,125,75,45,530
136,104,Cubone,1,global,Ground,"",Rock Head,Lightning Rod,Battle Armor,1,0,0,0.4,6.5,50,50,95,40,50,35,320
137,105,Marowak,1,global,Ground,"",Rock Head,Lightning Rod,Battle Armor,1,0,0,1,45,60,80,110,50,80,45,425
138,105,Marowak,1,alolan,Fire,Ghost,Cursed Body,Lightning Rod,Rock Head,7,0,0,1,34,60,80,110,50,80,45,425
139,106,Hitmonlee,1,global,Fighting,"",Limber,Reckless,Unburden,1,0,0,1.5,49.8,50,120,53,35,110,87,455
140,107,Hitmonchan,1,global,Fighting,"",Keen Eye,Iron Fist,Inner Focus,1,0,0,1.4,50.2,50,105,79,35,110,76,455
141,108,Lickitung,1,global,Normal,"",Own Tempo,Oblivious,Cloud Nine,1,0,0,1.2,65.5,90,55,75,60,75,30,385
142,109,Koffing,1,global,Poison,"",Levitate,Neutralizing Gas,Stench,1,0,0,0.6,1,40,65,95,60,45,35,340
143,110,Weezing,1,global,Poison,"",Levitate,Neutralizing Gas,Stench,1,0,0,1.2,9.5,65,90,120,85,70,60,490
144,110,Weezing,1,galarian,Poison,Fairy,Levitate,Neutralizing Gas,Misty Surge,8,0,0,3,16,65,90,120,85,70,60,490
145,111,Rhyhorn,1,global,Ground,Rock,Lightning Rod,Rock Head,Reckless,1,0,0,1,115,80,85,95,30,30,25,345
146,112,Rhydon,1,global,Ground,Rock,Lightning Rod,Rock Head,Reckless,1,0,0,1.9,120,105,130,120,45,45,40,485
147,113,Chansey,1,global,Normal,"",Natural Cure,Serene Grace,Healer,1,0,0,1.1,34.6,250,5,5,35,105,50,450
148,114,Tangela,1,global,Grass,"",Chlorophyll,Leaf Guard,Regenerator,1,0,0,1,35,65,55,115,100,40,60,435
149,115,Kangaskhan,1,global,Normal,"",Early Bird,Scrappy,Inner Focus,1,0,0,2.2,80,105,95,80,40,80,90,490
150,115,Mega Kangaskhan,1,global,Normal,"",Parental Bond,"","",1,0,1,2.2,100,105,125,100,60,100,100,590
151,116,Horsea,1,global,Water,"",Swift Swim,Sniper,Damp,1,0,0,0.4,8,30,40,70,70,25,60,295
152,117,Seadra,1,global,Water,"",Poison Point,Sniper,Damp,1,0,0,1.2,25,55,65,95,95,45,85,440
153,118,Goldeen,1,global,Water,"",Swift Swim,Water Veil,Lightning Rod,1,0,0,0.6,15,45,67,60,35,50,63,320
154,119,Seaking,1,global,Water,"",Swift Swim,Water Veil,Lightning Rod,1,0,0,1.3,39,80,92,65,65,80,68,450
155,120,Staryu,1,global,Water,"",Illuminate,Natural Cure,Analytic,1,0,0,0.8,34.5,30,45,55,70,55,85,340
156,121,Starmie,1,global,Water,Psychic,Illuminate,Natural Cure,Analytic,1,0,0,1.1,80,60,75,85,100,85,115,520
157,122,Mr. Mime,1,global,Psychic,Fairy,Soundproof,Filter,Technician,1,0,0,1.3,54.5,40,45,65,100,120,90,460
158,122,Mr. Mime,1,galarian,Psychic,Ice,Vital Spilit,Screen Cleaner,Ice Body,8,0,0,1.4,56.8,50,65,65,90,90,100,460
159,123,Scyther,1,global,Bug,Flying,Swarm,Technician,Steadfast,1,0,0,1.5,56,70,110,80,55,80,105,500
160,124,Jynx,1,global,Ice,Psychic,Oblivious,Forewarn,Dry Skin,1,0,0,1.4,40.6,65,50,35,115,95,95,455
161,125,Electabuzz,1,global,Electric,"",Static,"",Vital Spilit,1,0,0,1.1,30,65,83,57,95,85,105,490
162,126,Magmar,1,global,Fire,"",Flame Body,"",Vital Spilit,1,0,0,1.3,44.5,65,95,57,100,85,93,495
163,127,Pinsir,1,global,Bug,"",Hyper Cutter,Mold Breaker,Moxie,1,0,0,1.5,55,65,125,100,55,70,85,500
164,127,Mega Pinsir,1,global,Bug,Flying,Aerilate,"","",1,0,1,1.7,59,65,155,120,65,90,105,600
165,128,Tauros,1,global,Normal,"",Intimidate,Anger Point,Sheer Force,1,0,0,1.4,88.4,75,100,95,40,70,110,490
166,129,Magikarp,1,global,Water,"",Swift Swim,"",Rattled,1,0,0,0.9,10,20,10,55,15,20,80,200
167,130,Gyarados,1,global,Water,Flying,Intimidate,"",Moxie,1,0,0,6.5,235,95,125,79,60,100,81,540
168,130,Mega Gyarados,1,global,Water,Dark,Mold Breaker,"","",1,0,1,6.5,305,95,155,109,70,130,81,640
169,131,Lapras,1,global,Water,Ice,Water Absorb,Shell Armor,Hydration,1,0,0,2.5,220,130,85,80,85,95,60,535
170,132,Ditto,1,global,Normal,"",Limber,"",Imposter,1,0,0,0.3,4,48,48,48,48,48,48,288
171,133,Eevee,1,global,Normal,"",Run Away,Adaptability,Anticipation,1,0,0,0.3,6.5,55,55,50,45,65,55,325
172,134,Vaporeon,1,global,Water,"",Water Absorb,"",Hydration,1,0,0,1,29,130,65,60,110,95,65,525
173,135,Jolteon,1,global,Electric,"",Volt Absorb,"",Quick Feet,1,0,0,0.8,24.5,65,65,60,110,95,130,525
174,136,Flareon,1,global,Fire,"",Flash Fire,"",Guts,1,0,0,0.9,25,65,130,60,95,110,65,525
175,137,Porygon,1,global,Normal,"",Trace,Download,Analytic,1,0,0,0.8,36.5,65,60,70,85,75,40,395
176,138,Omanyte,1,global,Rock,Water,Swift Swim,Shell Armor,Weak Armor,1,0,0,0.4,7.5,35,40,100,90,55,35,355
177,139,Omastar,1,global,Rock,Water,Swift Swim,Shell Armor,Weak Armor,1,0,0,1,35,70,60,125,115,70,55,495
178,140,Kabuto,1,global,Rock,Water,Swift Swim,Battle Armor,Weak Armor,1,0,0,0.5,11.5,30,80,90,55,45,55,355
179,141,Kabutops,1,global,Rock,Water,Swift Swim,Battle Armor,Weak Armor,1,0,0,1.3,40.5,60,115,105,65,70,80,495
180,142,Aerodactyl,1,global,Rock,Flying,Rock Head,Pressure,Unnerve,1,0,0,1.8,59,80,105,65,60,75,130,515
181,142,Mega Aerodactyl,1,global,Rock,Flying,Tough Claws,"","",1,0,1,2.1,79,80,135,85,70,95,150,615
182,143,Snorlax,1,global,Normal,"",Immunity,Thick Fat,Gluttony,1,0,0,2.1,460,160,110,65,65,110,30,540
183,144,Articuno,1,global,Ice,Flying,Pressure,"",Snow Cloak,1,1,0,1.7,55.4,90,85,100,95,125,85,580
184,145,Zapdos,1,global,Electric,Flying,Pressure,"",Static,1,1,0,1.6,52.6,90,90,85,125,90,100,580
185,146,Moltres,1,global,Fire,Flying,Pressure,"",Flame Body,1,1,0,2,60,90,100,90,125,85,90,580
186,147,Dratini,1,global,Dragon,"",Shed Skin,"",Marvel Scale,1,0,0,1.8,3.3,41,64,45,50,50,50,300
187,148,Dragonair,1,global,Dragon,"",Shed Skin,"",Marvel Scale,1,0,0,4,16.5,61,84,65,70,70,70,420
188,149,Dragonite,1,global,Dragon,Flying,Inner Focus,"",Multiscale,1,0,0,2.2,210,91,134,95,100,100,80,600
189,150,Mewtwo,1,global,Psychic,"",Pressure,"",Unnerve,1,1,0,2,122,106,110,90,154,90,130,680
190,150,Mega Mewtwo X,1,global,Psychic,Fighting,Steadfast,"","",1,1,1,2.3,127,106,190,100,154,100,130,780
191,150,Mega Mewtwo Y,1,global,Psychic,"",Insomnia,"","",1,1,1,1.5,33,106,150,70,194,120,140,780
192,151,Mew,1,global,Psychic,"",Synchronize,"","",1,1,0,0.4,4,100,100,100,100,100,100,600
193,152,Chikorita,1,global,Grass,"",Overgrow,"",Leaf guard,2,0,0,0.9,6.4,45,49,65,49,65,45,318
194,153,Bayleef,1,global,Grass,"",Overgrow,"",Leaf guard,2,0,0,1.2,15.8,60,62,80,63,80,60,405
195,154,Meganium,1,global,Grass,"",Overgrow,"",Leaf guard,2,0,0,1.8,100.5,80,82,100,83,100,80,525
196,155,Cyndaquil,1,global,Fire,"",Blaze,"",Flash Fire,2,0,0,0.5,7.9,39,52,43,60,50,65,309
197,156,Quilava,1,global,Fire,"",Blaze,"",Flash Fire,2,0,0,0.9,19,58,64,58,80,65,80,405
198,157,Typhlosion,1,global,Fire,"",Blaze,"",Flash Fire,2,0,0,1.7,79.5,78,84,78,109,85,100,534
199,158,Totodile,1,global,Water,"",Torrent,"",Sheer Force,2,0,0,0.6,9.5,50,65,64,44,48,43,314
200,159,Croconaw,1,global,Water,"",Torrent,"",Sheer Force,2,0,0,1.1,25,65,80,80,59,63,58,405
201,160,Feraligatr,1,global,Water,"",Torrent,"",Sheer Force,2,0,0,2.3,88.8,85,105,100,79,83,78,530
202,161,Sentret,1,global,Normal,"",Run Away,Keen Eye,Frisk,2,0,0,0.8,6,35,46,34,35,45,20,215
203,162,Furret,1,global,Normal,"",Run Away,Keen Eye,Frisk,2,0,0,1.8,32.5,85,76,64,45,55,90,415
204,163,Hoothoot,1,global,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,2,0,0,0.7,21.2,60,30,30,36,56,50,262
205,164,Noctowl,1,global,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,2,0,0,1.6,40.8,100,50,50,86,96,70,452
206,165,Ledyba,1,global,Bug,Flying,Swarm,Early Bird,Rattled,2,0,0,1,10.8,40,20,30,40,80,55,265
207,166,Ledian,1,global,Bug,Flying,Swarm,Early Bird,Iron Fist,2,0,0,1.4,35.6,55,35,50,55,110,85,390
208,167,Spinarak,1,global,Bug,Poison,Swarm,Insomnia,Sniper,2,0,0,0.5,8.5,40,60,40,40,40,30,250
209,168,Ariados,1,global,Bug,Poison,Swarm,Insomnia,Sniper,2,0,0,1.1,33.5,70,90,70,60,70,40,400
210,169,Crobat,1,global,Poison,Flying,Inner Focus,"",Infiltrator,2,0,0,1.8,75,85,90,80,70,80,130,535
211,170,Chinchou,1,global,Water,Electric,Volt Absorb,Illuminate,Water Absorb,2,0,0,0.5,12,75,38,38,56,56,67,330
212,171,Lanturn,1,global,Water,Electric,Volt Absorb,Illuminate,Water Absorb,2,0,0,1.2,22.5,125,58,58,76,76,67,460
213,172,Pichu,1,global,Electric,"",Static,"",Lightning Rod,2,0,0,0.3,2,20,40,15,35,35,60,205
214,173,Cleffa,1,global,Fairy,"",Cute Charm,Magic Guard,Friend Guard,2,0,0,0.3,3,50,25,28,45,55,15,218
