id,number,name,form,region,type_1,type_2,ability_1,ability_2,ability_hidden,generation,legendary,mega,height,weight,hp,attack,defense,special_attack,special_defense,speed,total,enabled,rarity_tier,gender
30,22,Fearow,0,global,Normal,Flying,Keen Eye,"",Sniper,1,0,0,1.2,38,65,90,65,61,61,100,442,1,common,mf
31,23,Ekans,0,global,Poison,"",Intimidate,Shed Skin,Unnerve,1,0,0,2,6.9,35,60,44,40,54,55,288,1,ultra-common,mf
32,24,Arbok,0,global,Poison,"",Intimidate,Shed Skin,Unnerve,1,0,0,3.5,65,60,95,69,65,79,80,448,1,common,mf
33,25,Pikachu,0,global,Electric,"",Static,"",Lightning Rod,1,0,0,0.4,6,35,55,40,50,50,90,320,1,ultra-common,fo
34,26,Raichu,0,global,Electric,"",Static,"",Lightning Rod,1,0,0,0.8,30,60,90,55,90,80,110,485,1,common,fo
35,26,Raichu,0,alolan,Electric,Psychic,Surge Surfer,"","",7,0,0,0.7,21,60,85,50,95,85,110,485,1,common,fo
36,27,Sandshrew,0,global,Ground,"",Sand Veil,"",Sand Rush,1,0,0,0.6,12,50,75,85,20,30,40,300,1,ultra-common,mf
37,27,Sandshrew,0,alolan,Ice,Steel,Snow Cloak,"",Slush Rush,7,0,0,0.7,40,50,75,90,10,35,40,300,1,ultra-common,mf
38,28,Sandslash,0,global,Ground,"",Sand Veil,"",Sand Rush,1,0,0,1,29.5,75,100,110,45,55,65,450,1,common,mf
39,28,Sandslash,0,alolan,Ice,Steel,Snow Cloak,"",Slush Rush,7,0,0,1.2,55,75,100,120,25,65,65,450,1,common,mf
40,29,Nidoran F,0,global,Poison,"",Poison Point,Rivalry,Hustle,1,0,0,0.4,7,55,47,52,40,40,41,275,1,ultra-common,fo
41,30,Nidorina,0,global,Poison,"",Poison Point,Rivalry,Hustle,1,0,0,0.8,20,70,62,67,55,55,56,365,1,ultra-common,fo
42,31,Nidoqueen,0,global,Poison,Ground,Poison Point,Rivalry,Sheer Force,1,0,0,1.3,60,90,92,87,75,85,76,505,1,common,fo
43,32,Nidoran M,0,global,Poison,"",Poison Point,Rivalry,Hustle,1,0,0,0.5,9,46,57,40,40,40,50,273,1,ultra-common,mo
44,33,Nidorino,0,global,Poison,"",Poison Point,Rivalry,Hustle,1,0,0,0.9,19.5,61,72,57,55,55,65,365,1,ultra-common,mo
45,34,Nidoking,0,global,Poison,Ground,Poison Point,Rivalry,Sheer Force,1,0,0,1.4,62,81,102,77,85,75,85,505,1,common,mo
46,35,Clefairy,0,global,Fairy,"",Cute Charm,Magic Guard,Friend Guard,1,0,0,0.6,7.5,70,45,48,60,65,35,323,1,ultra-common,mf
47,36,Clefable,0,global,Fairy,"",Cute Charm,Magic Guard,Friend Guard,1,0,0,1.3,40,95,70,73,95,90,60,483,1,common,mf
48,37,Vulpix,0,global,Fire,"",Flash Fire,"",Drought,1,0,0,0.6,9.9,38,41,40,50,65,65,299,1,ultra-common,mf
49,37,Vulpix,0,alolan,Ice,"",Snow Cloak,"",Snow Warning,7,0,0,0.6,9.9,38,41,40,50,65,65,299,1,ultra-common,mf
50,38,Ninetales,0,global,Fire,"",Flash Fire,"",Drought,1,0,0,1.1,19.9,73,76,75,81,100,100,505,1,common,mf
51,38,Ninetales,0,alolan,Ice,Fairy,Snow Cloak,"",Snow Warning,7,0,0,1.1,19.9,73,67,75,81,100,109,505,1,common,mf
52,39,Jigglypuff,0,global,Normal,Fairy,Cute Charm,Competitive,Friend Guard,1,0,0,0.5,5.5,115,45,20,45,25,20,270,1,ultra-common,mf
53,40,Wigglytuff,0,global,Normal,Fairy,Cute Charm,Competitive,Friend Guard,1,0,0,1,12,140,70,45,85,50,45,435,1,common,mf
54,41,Zubat,0,global,Poison,Flying,Inner Focus,"",Infiltrator,1,0,0,0.8,7.5,40,45,35,30,40,55,245,1,ultra-common,fo
55,42,Golbat,0,global,Poison,Flying,Inner Focus,"",Infiltrator,1,0,0,1.6,55,75,80,70,65,75,90,455,1,common,fo
56,43,Oddish,0,global,Grass,Poison,Chlorophyll,"",Run Away,1,0,0,0.5,5.4,45,50,55,75,65,30,320,1,ultra-common,mf
57,44,Gloom,0,global,Grass,Poison,Chlorophyll,"",Stench,1,0,0,0.8,8.6,60,65,70,85,75,40,395,1,ultra-common,fo
58,45,Vileplume,0,global,Grass,Poison,Chlorophyll,"",Effect Spore,1,0,0,1.2,18.6,75,80,85,110,90,50,490,1,common,fo
59,46,Paras,0,global,Bug,Grass,Effect Spore,Dry Skin,Damp,1,0,0,0.3,5.4,35,70,55,45,55,25,285,1,ultra-common,mf
60,47,Parasect,0,global,Bug,Grass,Effect Spore,Dry Skin,Damp,1,0,0,1,29.5,60,95,80,60,80,30,405,1,ultra-common,mf
61,48,Venonat,0,global,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,1,0,0,1,30,60,55,50,40,55,45,305,1,ultra-common,mf
62,49,Venomoth,0,global,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,1,0,0,1.5,12.5,70,65,60,90,75,90,450,1,common,mf
63,50,Diglett,0,global,Ground,"",Sand Veil,Arena Trap,Sand Force,1,0,0,0.2,0.8,10,55,25,35,45,95,265,1,ultra-common,mf
64,50,Diglett,0,alolan,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,7,0,0,0.2,1,10,55,30,35,45,90,265,1,ultra-common,mf
65,51,Dugtrio,0,global,Ground,"",Sand Veil,Arena Trap,Sand Force,1,0,0,0.7,33.3,35,100,50,50,70,120,425,1,common,mf
66,51,Dugtrio,0,alolan,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,7,0,0,0.7,66.6,35,100,60,50,70,110,425,1,common,mf
67,52,Meowth,0,global,Normal,"",Pickup,Technician,Unnerve,1,0,0,0.4,4.2,40,45,35,40,40,90,290,1,ultra-common,mf
68,52,Meowth,0,alolan,Dark,"",Pickup,Technician,Rattled,7,0,0,0.4,4.2,40,35,35,50,40,90,290,1,ultra-common,mf
69,52,Meowth,0,galarian,Steel,"",Pickup,Tough Claws,Unnerve,8,0,0,0.4,7.5,50,65,55,40,40,40,290,1,ultra-common,mf
70,53,Persian,0,global,Normal,"",Limber,Technician,Unnerve,1,0,0,1,32,65,70,60,65,65,115,440,1,common,mf
71,53,Persian,0,alolan,Dark,"",Fur Coat,Technician,Rattled,7,0,0,1.1,33,65,60,60,75,65,115,440,1,common,mf
72,54,Psyduck,0,global,Water,"",Damp,Cloud Nine,Swift Swim,1,0,0,0.8,19.6,50,52,48,65,50,55,320,1,ultra-common,mf
73,55,Golduck,0,global,Water,"",Damp,Cloud Nine,Swift Swim,1,0,0,1.7,76.6,80,82,78,95,80,85,500,1,common,mf
74,56,Mankey,0,global,Fighting,"",Vital Spilit,Anger Point,Defiant,1,0,0,0.5,28,40,80,35,35,45,70,305,1,ultra-common,mf
75,57,Primeape,0,global,Fighting,"",Vital Spilit,Anger Point,Defiant,1,0,0,1,32,65,105,60,60,70,95,455,1,common,mf
76,58,Growlithe,0,global,Fire,"",Intimidate,Flash Fire,Justified,1,0,0,0.7,19,55,70,45,70,50,60,350,1,ultra-common,mf
77,59,Arcanine,0,global,Fire,"",Intimidate,Flash Fire,Justified,1,0,0,1.9,155,90,110,80,100,80,95,555,1,rare,mf
78,60,Poliwag,0,global,Water,"",Water Absorb,Damp,Swift Swim,1,0,0,0.6,12.4,40,50,40,40,40,90,300,1,ultra-common,mf
79,61,Poliwhirl,0,global,Water,"",Water Absorb,Damp,Swift Swim,1,0,0,1,20,65,65,65,50,50,90,385,1,ultra-common,mf
80,62,Poliwrath,0,global,Water,Fighting,Water Absorb,Damp,Swift Swim,1,0,0,1.3,54,90,95,95,70,90,70,510,1,common,mf
81,63,Abra,0,global,Psychic,"",Synchronize,Inner Focus,Magic guard,1,0,0,0.9,19.5,25,20,15,105,55,90,310,1,ultra-common,mf
82,64,Kadabra,0,global,Psychic,"",Synchronize,Inner Focus,Magic guard,1,0,0,1.3,56.5,40,35,30,120,70,105,400,1,ultra-common,fo
83,65,Alakazam,0,global,Psychic,"",Synchronize,Inner Focus,Magic guard,1,0,0,1.5,48,55,50,45,135,95,120,500,1,common,fo
84,65,Mega Alakazam,0,global,Psychic,"",Trace,"","",1,0,1,1.2,48,55,50,65,175,95,150,590,1,rare,fo
85,66,Machop,0,global,Fighting,"",Guts,No Guard,Steadfast,1,0,0,0.8,19.5,70,80,50,35,35,35,305,1,ultra-common,mf
86,67,Machoke,0,global,Fighting,"",Guts,No Guard,Steadfast,1,0,0,1.5,70.5,80,100,70,50,60,45,405,1,ultra-common,mf
87,68,Machamp,0,global,Fighting,"",Guts,No Guard,Steadfast,1,0,0,1.6,130,90,130,80,65,85,55,505,1,common,mf
88,69,Bellsprout,0,global,Grass,Poison,Chlorophyll,"",Gluttony,1,0,0,0.7,4,50,75,35,70,30,40,300,1,ultra-common,mf
89,70,Weepinbell,0,global,Grass,Poison,Chlorophyll,"",Gluttony,1,0,0,1,6.4,65,90,50,85,45,55,390,1,ultra-common,mf
90,71,Victreebel,0,global,Grass,Poison,Chlorophyll,"",Gluttony,1,0,0,1.7,15.5,80,105,65,100,70,70,490,1,common,mf
91,72,Tentacool,0,global,Water,Poison,Clear Body,Liquid Ooze,Rain dish,1,0,0,0.9,45.5,40,40,35,50,100,70,335,1,ultra-common,mf
92,73,Tentacruel,0,global,Water,Poison,Clear Body,Liquid Ooze,Rain dish,1,0,0,1.6,55,80,70,65,80,120,100,515,1,common,mf
93,74,Geodude,0,global,Rock,Ground,Rock Head,Sturdy,Sand Veil,1,0,0,0.4,20,40,80,100,30,30,20,300,1,ultra-common,mf
94,74,Geodude,0,alolan,Rock,Electric,Magnet Pull,Sturdy,Galvanize,7,0,0,0.4,20.3,40,80,100,30,30,20,300,1,ultra-common,mf
95,75,Graveler,0,global,Rock,Ground,Rock Head,Sturdy,Sand Veil,1,0,0,1,105,55,95,115,45,45,35,390,1,ultra-common,mf
96,75,Graveler,0,alolan,Rock,Electric,Magnet Pull,Sturdy,Galvanize,7,0,0,1,110,55,95,115,45,45,35,390,1,ultra-common,mf
97,76,Golem,0,global,Rock,Ground,Rock Head,Sturdy,Sand Veil,1,0,0,1.4,300,80,120,130,55,65,45,495,1,common,mf
98,76,Golem,0,alolan,Rock,Electric,Magnet Pull,Sturdy,Galvanize,7,0,0,1.7,316,80,120,130,55,65,45,495,1,common,mf
99,77,Ponyta,0,global,Fire,"",Run Away,Flash Fire,Flame Body,1,0,0,1,30,50,85,55,65,65,90,410,1,ultra-common,mf
100,77,Ponyta,0,galarian,Psychic,"",Run Away,Pastel Veil,Anticipation,8,0,0,0.8,24,50,85,55,65,65,90,410,1,ultra-common,mf
101,78,Rapidash,0,global,Fire,"",Run Away,Flash Fire,Flame Body,1,0,0,1.7,95,65,100,70,80,80,105,500,1,common,mf
102,78,Rapidash,0,galarian,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,8,0,0,1.7,80,65,100,70,80,80,105,500,1,common,mf
103,79,Slowpoke,0,global,Water,Psychic,Oblivious,Own Tempo,Regenerator,1,0,0,1.2,36,90,65,65,40,40,15,315,1,ultra-common,mf
104,79,Slowpoke,0,galarian,Psychic,"",Gluttony,Own Tempo,Regenerator,8,0,0,1.2,36,90,65,65,40,40,15,315,1,ultra-common,mf
105,80,Slowbro,0,global,Water,Psychic,Oblivious,Own Tempo,Regenerator,1,0,0,1.6,78.5,95,75,110,100,80,30,490,1,common,mf
106,80,Slowbro,0,galarian,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,8,0,0,1.6,70.5,95,100,95,100,70,30,490,0,common,mf
107,80,Mega Slowbro,0,global,Water,Psychic,Shell Armor,"","",1,0,1,2,120,95,75,180,130,80,30,590,1,rare,mf
108,81,Magnemite,0,global,Electric,Steel,Magnet Pull,Sturdy,Analytic,1,0,0,0.3,6,25,35,70,95,55,45,325,1,ultra-common,uk
109,82,Magneton,0,global,Electric,Steel,Magnet Pull,Sturdy,Analytic,1,0,0,1,60,50,60,95,120,70,70,465,1,common,uk
110,83,Farfetch'd,0,global,Normal,Flying,Keen Eye,Inner Focus,Defiant,1,0,0,0.8,15,52,90,55,58,62,60,377,1,common,mf
111,83,Farfetch'd,0,galarian,Fighting,"",Steadfast,"",Scrappy,8,0,0,0.8,42,52,95,55,58,62,55,377,1,common,mf
112,84,Doduo,0,global,Normal,Flying,Run Away,Early Bird,Tangled Feet,1,0,0,1.4,39.2,35,85,45,35,35,75,310,1,ultra-common,fo
113,85,Dodrio,0,global,Normal,Flying,Run Away,Early Bird,Tangled Feet,1,0,0,1.8,85.2,60,110,70,60,60,110,470,1,common,fo
114,86,Seel,0,global,Water,"",Thick Fat,Hydration,Ice Body,1,0,0,1.1,90,65,45,55,45,70,45,325,1,ultra-common,mf
115,87,Dewgong,0,global,Water,Ice,Thick Fat,Hydration,Ice Body,1,0,0,1.7,120,90,70,80,70,95,70,475,1,common,mf
116,88,Grimer,0,global,Poison,"",Stench,Sticky Hold,Poison Touch,1,0,0,0.9,30,80,80,50,40,50,25,325,1,ultra-common,mf
117,88,Grimer,0,alolan,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,7,0,0,0.7,42,80,80,50,40,50,25,325,1,ultra-common,mf
118,89,Muk,0,global,Poison,"",Stench,Sticky Hold,Poison Touch,1,0,0,1.2,30,105,105,75,65,100,50,500,1,common,mf
119,89,Muk,0,alolan,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,7,0,0,1,52,105,105,75,65,100,50,500,1,common,mf
120,90,Shellder,0,global,Water,"",Shell Armor,Skill Link,Overcoat,1,0,0,0.3,4,30,65,100,45,25,40,305,1,ultra-common,mf
121,91,Cloyster,0,global,Water,Ice,Shell Armor,Skill Link,Overcoat,1,0,0,1.5,132.5,50,95,180,85,45,70,525,1,rare,mf
122,92,Gastly,0,global,Ghost,Poison,Levitate,"","",1,0,0,1.3,0.1,30,35,30,100,35,80,310,1,ultra-common,mf
123,93,Haunter,0,global,Ghost,Poison,Levitate,"","",1,0,0,1.6,0.1,45,50,45,115,55,95,405,1,ultra-common,mf
124,94,Gengar,0,global,Ghost,Poison,Cursed Body,"","",1,0,0,1.5,40.5,60,65,60,130,75,110,500,1,rare,mf
125,94,Mega Gengar,0,global,Ghost,Poison,Shadow Tag,"","",1,0,1,1.4,40.5,60,65,80,170,95,130,600,1,rare,mf
126,95,Onix,0,global,Rock,Ground,Rock Head,Sturdy,Weak Armor,1,0,0,8.8,210,35,45,160,30,45,70,385,1,ultra-common,mf
127,96,Drowzee,0,global,Psychic,"",Insomnia,Forewarn,Inner Focus,1,0,0,1,32.4,60,48,45,43,90,42,328,1,ultra-common,mf
128,97,Hypno,0,global,Psychic,"",Insomnia,Forewarn,Inner Focus,1,0,0,1.6,75.6,85,73,70,73,115,67,483,1,common,fo
129,98,Krabby,0,global,Water,"",Hyper Cutter,Shell Armor,Sheer Force,1,0,0,0.4,6.5,30,105,90,25,25,50,325,1,ultra-common,mf
130,99,Kingler,0,global,Water,"",Hyper Cutter,Shell Armor,Sheer Force,1,0,0,1.3,60,55,130,115,50,50,75,475,1,common,mf
131,100,Voltorb,0,global,Electric,"",Soundproof,Static,Aftermath,1,0,0,0.5,10.4,40,30,50,55,55,100,330,1,ultra-common,uk
132,101,Electrode,0,global,Electric,"",Soundproof,Static,Aftermath,1,0,0,1.2,66.6,60,50,70,80,80,150,490,1,common,uk
133,102,Exeggcute,0,global,Grass,Psychic,Chlorophyll,"",Harvest,1,0,0,0.4,2.5,60,40,80,60,45,40,325,1,ultra-common,mf
134,103,Exeggutor,0,global,Grass,Psychic,Chlorophyll,"",Harvest,1,0,0,2,120,95,95,85,125,75,55,530,1,rare,mf
135,103,Exeggutor,0,alolan,Grass,Dragon,Frisk,"",Harvest,7,0,0,10.9,415.6,95,105,85,125,75,45,530,1,rare,mf
136,104,Cubone,0,global,Ground,"",Rock Head,Lightning Rod,Battle Armor,1,0,0,0.4,6.5,50,50,95,40,50,35,320,1,ultra-common,mf
137,105,Marowak,0,global,Ground,"",Rock Head,Lightning Rod,Battle Armor,1,0,0,1,45,60,80,110,50,80,45,425,1,common,mf
138,105,Marowak,0,alolan,Fire,Ghost,Cursed Body,Lightning Rod,Rock Head,7,0,0,1,34,60,80,110,50,80,45,425,1,common,mf
139,106,Hitmonlee,0,global,Fighting,"",Limber,Reckless,Unburden,1,0,0,1.5,49.8,50,120,53,35,110,87,455,1,rare,mo
140,107,Hitmonchan,0,global,Fighting,"",Keen Eye,Iron Fist,Inner Focus,1,0,0,1.4,50.2,50,105,79,35,110,76,455,1,rare,mo
141,108,Lickitung,0,global,Normal,"",Own Tempo,Oblivious,Cloud Nine,1,0,0,1.2,65.5,90,55,75,60,75,30,385,1,rare,mf
142,109,Koffing,0,global,Poison,"",Levitate,Neutralizing Gas,Stench,1,0,0,0.6,1,40,65,95,60,45,35,340,1,ultra-common,mf
143,110,Weezing,0,global,Poison,"",Levitate,Neutralizing Gas,Stench,1,0,0,1.2,9.5,65,90,120,85,70,60,490,1,common,mf
144,110,Weezing,0,galarian,Poison,Fairy,Levitate,Neutralizing Gas,Misty Surge,8,0,0,3,16,65,90,120,85,70,60,490,1,common,mf
145,111,Rhyhorn,0,global,Ground,Rock,Lightning Rod,Rock Head,Reckless,1,0,0,1,115,80,85,95,30,30,25,345,1,ultra-common,fo
146,112,Rhydon,0,global,Ground,Rock,Lightning Rod,Rock Head,Reckless,1,0,0,1.9,120,105,130,120,45,45,40,485,1,rare,fo
147,113,Chansey,0,global,Normal,"",Natural Cure,Serene Grace,Healer,1,0,0,1.1,34.6,250,5,5,35,105,50,450,1,ultra-rare,fo
148,114,Tangela,0,global,Grass,"",Chlorophyll,Leaf Guard,Regenerator,1,0,0,1,35,65,55,115,100,40,60,435,1,common,mf
149,115,Kangaskhan,0,global,Normal,"",Early Bird,Scrappy,Inner Focus,1,0,0,2.2,80,105,95,80,40,80,90,490,1,rare,fo
150,115,Mega Kangaskhan,0,global,Normal,"",Parental Bond,"","",1,0,1,2.2,100,105,125,100,60,100,100,590,1,rare,fo
151,116,Horsea,0,global,Water,"",Swift Swim,Sniper,Damp,1,0,0,0.4,8,30,40,70,70,25,60,295,1,ultra-common,mf
152,117,Seadra,0,global,Water,"",Poison Point,Sniper,Damp,1,0,0,1.2,25,55,65,95,95,45,85,440,1,common,mf
153,118,Goldeen,0,global,Water,"",Swift Swim,Water Veil,Lightning Rod,1,0,0,0.6,15,45,67,60,35,50,63,320,1,ultra-common,fo
154,119,Seaking,0,global,Water,"",Swift Swim,Water Veil,Lightning Rod,1,0,0,1.3,39,80,92,65,65,80,68,450,1,common,fo
155,120,Staryu,0,global,Water,"",Illuminate,Natural Cure,Analytic,1,0,0,0.8,34.5,30,45,55,70,55,85,340,1,ultra-common,uk
156,121,Starmie,0,global,Water,Psychic,Illuminate,Natural Cure,Analytic,1,0,0,1.1,80,60,75,85,100,85,115,520,1,common,uk
157,122,Mr. Mime,0,global,Psychic,Fairy,Soundproof,Filter,Technician,1,0,0,1.3,54.5,40,45,65,100,120,90,460,1,common,mf
158,122,Mr. Mime,0,galarian,Psychic,Ice,Vital Spilit,Screen Cleaner,Ice Body,8,0,0,1.4,56.8,50,65,65,90,90,100,460,1,common,mf
159,123,Scyther,0,global,Bug,Flying,Swarm,Technician,Steadfast,1,0,0,1.5,56,70,110,80,55,80,105,500,1,common,fo
160,124,Jynx,0,global,Ice,Psychic,Oblivious,Forewarn,Dry Skin,1,0,0,1.4,40.6,65,50,35,115,95,95,455,1,common,fo
161,125,Electabuzz,0,global,Electric,"",Static,"",Vital Spilit,1,0,0,1.1,30,65,83,57,95,85,105,490,1,common,mf
162,126,Magmar,0,global,Fire,"",Flame Body,"",Vital Spilit,1,0,0,1.3,44.5,65,95,57,100,85,93,495,1,common,mf
163,127,Pinsir,0,global,Bug,"",Hyper Cutter,Mold Breaker,Moxie,1,0,0,1.5,55,65,125,100,55,70,85,500,1,common,mf
164,127,Mega Pinsir,0,global,Bug,Flying,Aerilate,"","",1,0,1,1.7,59,65,155,120,65,90,105,600,1,rare,mf
165,128,Tauros,0,global,Normal,"",Intimidate,Anger Point,Sheer Force,1,0,0,1.4,88.4,75,100,95,40,70,110,490,1,rare,mo
166,129,Magikarp,0,global,Water,"",Swift Swim,"",Rattled,1,0,0,0.9,10,20,10,55,15,20,80,200,1,ultra-common,fo
167,130,Gyarados,0,global,Water,Flying,Intimidate,"",Moxie,1,0,0,6.5,235,95,125,79,60,100,81,540,1,rare,fo
168,130,Mega Gyarados,0,global,Water,Dark,Mold Breaker,"","",1,0,1,6.5,305,95,155,109,70,130,81,640,1,rare,fo
169,131,Lapras,0,global,Water,Ice,Water Absorb,Shell Armor,Hydration,1,0,0,2.5,220,130,85,80,85,95,60,535,1,rare,mf
170,132,Ditto,0,global,Normal,"",Limber,"",Imposter,1,0,0,0.3,4,48,48,48,48,48,48,288,1,rare,uk
171,133,Eevee,0,global,Normal,"",Run Away,Adaptability,Anticipation,1,0,0,0.3,6.5,55,55,50,45,65,55,325,1,ultra-common,fo
172,134,Vaporeon,0,global,Water,"",Water Absorb,"",Hydration,1,0,0,1,29,130,65,60,110,95,65,525,1,rare,mf
173,135,Jolteon,0,global,Electric,"",Volt Absorb,"",Quick Feet,1,0,0,0.8,24.5,65,65,60,110,95,130,525,1,rare,mf
174,136,Flareon,0,global,Fire,"",Flash Fire,"",Guts,1,0,0,0.9,25,65,130,60,95,110,65,525,1,rare,mf
175,137,Porygon,0,global,Normal,"",Trace,Download,Analytic,1,0,0,0.8,36.5,65,60,70,85,75,40,395,1,rare,uk
176,138,Omanyte,0,global,Rock,Water,Swift Swim,Shell Armor,Weak Armor,1,0,0,0.4,7.5,35,40,100,90,55,35,355,1,ultra-common,mf
177,139,Omastar,0,global,Rock,Water,Swift Swim,Shell Armor,Weak Armor,1,0,0,1,35,70,60,125,115,70,55,495,1,rare,mf
178,140,Kabuto,0,global,Rock,Water,Swift Swim,Battle Armor,Weak Armor,1,0,0,0.5,11.5,30,80,90,55,45,55,355,1,ultra-common,mf
179,141,Kabutops,0,global,Rock,Water,Swift Swim,Battle Armor,Weak Armor,1,0,0,1.3,40.5,60,115,105,65,70,80,495,1,rare,mf
180,142,Aerodactyl,0,global,Rock,Flying,Rock Head,Pressure,Unnerve,1,0,0,1.8,59,80,105,65,60,75,130,515,1,rare,mf
181,142,Mega Aerodactyl,0,global,Rock,Flying,Tough Claws,"","",1,0,1,2.1,79,80,135,85,70,95,150,615,1,rare,mf
182,143,Snorlax,0,global,Normal,"",Immunity,Thick Fat,Gluttony,1,0,0,2.1,460,160,110,65,65,110,30,540,1,ultra-rare,mf
183,144,Articuno,0,global,Ice,Flying,Pressure,"",Snow Cloak,1,1,0,1.7,55.4,90,85,100,95,125,85,580,1,ultra-rare,uk
184,145,Zapdos,0,global,Electric,Flying,Pressure,"",Static,1,1,0,1.6,52.6,90,90,85,125,90,100,580,1,ultra-rare,uk
185,146,Moltres,0,global,Fire,Flying,Pressure,"",Flame Body,1,1,0,2,60,90,100,90,125,85,90,580,1,ultra-rare,uk
186,147,Dratini,0,global,Dragon,"",Shed Skin,"",Marvel Scale,1,0,0,1.8,3.3,41,64,45,50,50,50,300,1,ultra-common,mf
187,148,Dragonair,0,global,Dragon,"",Shed Skin,"",Marvel Scale,1,0,0,4,16.5,61,84,65,70,70,70,420,1,ultra-common,mf
